idx,accelX_g,accelY_g,accelZ_g,magX_uT,magY_uT,magZ_uT,gyroX_dps,gyroY_dps,gyroZ_dps,gyroX_deg,gyroY_deg,gyroZ_deg,temp_C,humidity,pres_Pa,alt_m
396.0,0.092,0.934,0.011,-28.7,-78.3,11.3,-1.5,-2.938,0.375,89.341,-5.609,149.755,25.678,42.0,99702.14,141.42
397.0,0.094,0.934,0.009,-27.6,-78.6,13.6,-1.688,-3.188,0.062,89.461,-5.728,143.855,25.679,42.05,99701.16,141.5
398.0,0.093,0.935,0.012,-29.3,-79.4,11.6,-2.25,-3.188,-0.125,89.282,-5.663,149.45,25.674,41.99,99704.66,141.19
399.0,0.091,0.934,0.013,-28.3,-79.2,12.3,-1.938,-3.062,0.5,89.222,-5.55,146.91,25.685,42.01,99703.25,141.32
400.0,0.088,0.935,0.012,-29.1,-78.1,13.1,-2.25,-3.375,0.25,89.282,-5.367,147.008,25.693,42.01,99705.92,141.09
401.0,0.093,0.935,0.012,-28.4,-78.3,10.2,-1.812,-3.0,0.312,89.282,-5.663,151.451,25.694,42.0,99706.83,141.01
402.0,0.093,0.936,0.012,-29.2,-78.8,12.4,-2.062,-3.375,0.312,89.283,-5.657,147.862,25.695,42.0,99704.76,141.19
403.0,0.091,0.933,0.011,-29.8,-79.0,11.9,-2.312,-3.375,-0.062,89.341,-5.556,149.821,25.694,41.99,99705.39,141.14
404.0,0.093,0.936,0.009,-29.5,-79.7,11.9,-2.062,-3.188,-0.188,89.462,-5.657,149.547,25.693,42.04,99702.05,141.43
405.0,0.091,0.937,0.008,-29.9,-79.1,11.2,-2.25,-3.0,0.188,89.523,-5.533,151.829,25.694,41.99,99704.31,141.23
406.0,0.094,0.936,0.008,-29.4,-79.5,11.9,-1.562,-3.125,-0.375,89.522,-5.716,149.521,25.695,41.98,99701.88,141.45
407.0,0.089,0.936,0.01,-29.1,-78.7,10.6,-1.562,-3.0,-0.25,89.403,-5.42,152.076,25.697,42.0,99703.73,141.29
408.0,0.091,0.935,0.011,-29.0,-78.7,11.8,-2.0,-3.0,0.062,89.342,-5.544,149.159,25.7,42.03,99704.5,141.22
409.0,0.093,0.934,0.011,-30.0,-78.9,10.6,-1.562,-3.312,0.125,89.341,-5.669,152.467,25.7,42.01,99706.04,141.09
410.0,0.094,0.934,0.01,-30.7,-78.9,11.5,-1.562,-3.188,-0.125,89.401,-5.728,151.486,25.698,42.05,99703.56,141.3
411.0,0.091,0.933,0.008,-29.8,-78.5,12.0,-2.375,-3.188,-0.312,89.521,-5.556,150.167,25.699,42.0,99705.49,141.13
412.0,0.091,0.936,0.011,-28.5,-78.0,12.5,-2.062,-3.188,0.75,89.343,-5.539,147.287,25.701,42.09,99704.33,141.24
413.0,0.094,0.934,0.012,-28.9,-78.8,13.6,-1.562,-3.188,-0.312,89.282,-5.728,145.099,25.699,42.07,99701.89,141.45
414.0,0.091,0.934,0.013,-29.0,-77.9,13.5,-0.875,-3.188,-0.125,89.222,-5.55,145.711,25.698,42.09,99702.39,141.4
415.0,0.089,0.936,0.009,-28.5,-79.6,13.0,-2.0,-3.375,-0.188,89.462,-5.42,146.622,25.71,42.1,99703.59,141.3
416.0,0.087,0.935,0.009,-29.2,-78.0,10.9,-2.375,-3.438,0.312,89.462,-5.307,151.992,25.706,42.11,99703.35,141.32
417.0,0.095,0.933,0.008,-28.7,-78.4,12.8,-1.312,-3.062,0.062,89.521,-5.793,146.912,25.705,42.1,99703.88,141.28
418.0,0.089,0.935,0.011,-29.2,-78.7,10.7,-1.812,-3.125,-0.375,89.342,-5.426,151.8,25.71,42.09,99701.53,141.49
419.0,0.095,0.937,0.009,-30.1,-78.2,12.0,-1.688,-3.25,-0.062,89.463,-5.769,150.05,25.71,42.11,99702.87,141.37
420.0,0.089,0.935,0.012,-28.3,-78.9,12.5,-2.188,-3.062,-0.438,89.282,-5.426,146.949,25.712,42.06,99704.72,141.21
421.0,0.093,0.933,0.008,-30.0,-79.1,11.2,-2.125,-3.188,-0.125,89.521,-5.675,151.713,25.718,42.09,99704.2,141.26
422.0,0.096,0.935,0.007,-30.0,-78.1,11.5,-1.75,-3.5,-0.25,89.581,-5.841,151.144,25.718,42.09,99704.29,141.25
423.0,0.092,0.934,0.012,-30.1,-78.5,11.7,-1.312,-3.062,0.062,89.282,-5.609,150.368,25.716,42.07,99702.08,141.44
424.0,0.101,0.935,0.013,-29.5,-78.9,11.1,-1.938,-3.0,-0.062,89.223,-6.136,149.806,25.715,42.05,99704.77,141.2
425.0,0.091,0.935,0.01,-29.6,-80.0,12.6,-1.688,-3.375,-0.125,89.402,-5.544,148.292,25.714,42.03,99702.88,141.37
426.0,0.091,0.934,0.011,-29.5,-79.0,12.3,-1.562,-3.375,-0.062,89.341,-5.55,148.716,25.716,42.08,99701.72,141.47
427.0,0.093,0.937,0.011,-29.3,-79.3,10.1,-1.312,-3.312,0.25,89.344,-5.651,152.736,25.72,42.03,99704.51,141.23
428.0,0.091,0.935,0.007,-29.1,-78.7,11.7,-1.188,-2.75,-0.312,89.581,-5.545,150.125,25.722,41.98,99701.92,141.46
429.0,0.093,0.934,0.009,-29.2,-78.3,13.1,-2.0,-3.375,0.062,89.461,-5.669,147.037,25.722,42.04,99701.56,141.49
430.0,0.092,0.934,0.01,-29.1,-79.1,12.9,-1.812,-3.312,0.438,89.401,-5.609,147.131,25.723,41.98,99698.54,141.76
431.0,0.094,0.934,0.01,-29.2,-78.5,12.9,-1.5,-3.125,-0.062,89.401,-5.728,147.132,25.727,41.97,99701.66,141.48
432.0,0.095,0.935,0.009,-28.3,-78.8,12.3,-2.25,-3.375,-0.125,89.462,-5.781,147.196,25.726,41.99,99700.85,141.55
433.0,0.089,0.934,0.01,-29.7,-79.0,13.2,-1.5,-3.25,-0.125,89.401,-5.432,147.603,25.727,41.94,99702.83,141.38
434.0,0.093,0.932,0.009,-28.9,-79.3,12.5,-1.312,-3.062,0.125,89.46,-5.681,147.658,25.729,41.97,99703.77,141.3
435.0,0.09,0.935,0.011,-28.8,-78.0,13.0,-1.875,-3.25,-0.5,89.342,-5.485,146.792,25.733,41.99,99703.75,141.3
436.0,0.093,0.934,0.008,-29.4,-78.6,12.2,-1.5,-3.312,0.438,89.521,-5.669,149.124,25.737,41.96,99703.27,141.35
437.0,0.095,0.936,0.014,-28.7,-78.9,13.4,-1.438,-3.562,0.0,89.164,-5.775,144.812,25.736,41.9,99705.69,141.13
438.0,0.093,0.934,0.01,-29.1,-79.5,11.7,-1.688,-3.062,-0.25,89.401,-5.669,149.317,25.739,41.92,99703.94,141.29
439.0,0.093,0.932,0.008,-29.1,-79.0,12.0,-2.062,-3.062,-0.062,89.52,-5.681,149.09,25.739,41.92,99704.04,141.28
440.0,0.093,0.935,0.013,-28.3,-78.9,11.8,-1.5,-2.875,0.25,89.223,-5.663,147.745,25.741,41.95,99702.55,141.41
441.0,0.094,0.935,0.009,-29.8,-79.1,12.3,-2.188,-3.188,-0.125,89.462,-5.722,149.082,25.739,41.95,99704.66,141.22
442.0,0.093,0.933,0.011,-30.4,-78.9,13.7,-1.875,-3.438,0.312,89.341,-5.675,146.969,25.74,41.91,99705.7,141.13
443.0,0.09,0.933,0.009,-29.1,-78.9,11.6,-2.5,-3.562,-0.062,89.461,-5.497,150.049,25.744,41.91,99703.68,141.31
444.0,0.091,0.934,0.013,-29.9,-79.4,12.4,-1.875,-2.812,-0.125,89.222,-5.55,148.621,25.741,41.93,99705.79,141.13
445.0,0.098,0.934,0.012,-27.8,-79.1,12.7,-2.062,-3.125,-0.25,89.282,-5.965,144.854,25.747,41.94,99702.75,141.4
446.0,0.091,0.934,0.01,-29.1,-78.8,12.7,-2.0,-3.188,0.062,89.401,-5.55,147.657,25.748,41.98,99702.22,141.44
447.0,0.093,0.935,0.01,-29.2,-79.2,12.1,-1.938,-3.688,0.188,89.402,-5.663,148.695,25.75,42.01,99699.75,141.66
